[ 1.01262948e+03 -1.15727743e+02  6.04519425e+00 -2.30362380e-01  7.46743768e-03 -1.55824282e-04  1.35599670e-06]
[ 1.01277311e+03 -1.15573705e+02  6.02256387e+00 -2.29737741e-01  7.50488086e-03 -1.57951112e-04  1.38377541e-06]
[ 1.01157148e+03 -1.15094840e+02  5.91363273e+00 -2.18574768e-01  6.96789713e-03 -1.45888947e-04  1.28133174e-06]
[ 1.01070262e+03 -1.14992902e+02  5.96425697e+00 -2.25554358e-01  7.31075456e-03 -1.53380432e-04  1.34311016e-06]
[ 1.01064501e+03 -1.14638635e+02  5.86865227e+00 -2.16243799e-01  6.89566387e-03 -1.44729331e-04  1.27470269e-06]
[ 1.01103335e+03 -1.15039886e+02  5.95281694e+00 -2.24160157e-01  7.28421445e-03 -1.54230087e-04  1.36498159e-06]
[ 1.01120476e+03 -1.14779054e+02  5.80183543e+00 -2.06849313e-01  6.47296562e-03 -1.37143103e-04  1.23092263e-06]
[ 1.01116600e+03 -1.14962912e+02  5.86728116e+00 -2.13983233e-01  6.82448159e-03 -1.45349687e-04  1.30482640e-06]
[ 1.01200283e+03 -1.14890486e+02  5.81309098e+00 -2.06985203e-01  6.42304453e-03 -1.34705786e-04  1.19925350e-06]
[ 1.01147274e+03 -1.15416353e+02  5.98253698e+00 -2.25711459e-01  7.36561564e-03 -1.56810100e-04  1.39564886e-06]
[ 1.01166870e+03 -1.15407472e+02  5.98954378e+00 -2.26493708e-01  7.38224991e-03 -1.56510328e-04  1.38685680e-06]
[ 1.01247113e+03 -1.15887752e+02  6.10919779e+00 -2.38288425e-01  7.92273636e-03 -1.68185449e-04  1.48318178e-06]
